probe_id	gene_symbol	gene_id	gene_title	mapping_status
201406_at	RPL36A-HNRNPH2///RPL36A	100529097///6173	RPL36A-HNRNPH2 readthrough///ribosomal protein L36a	multiple_symbols
201407_s_at	PPP1CB	5500	protein phosphatase 1 catalytic subunit beta	single_symbol
201408_at	PPP1CB	5500	protein phosphatase 1 catalytic subunit beta	single_symbol
201409_s_at	PPP1CB	5500	protein phosphatase 1 catalytic subunit beta	single_symbol
201410_at	PLEKHB2	55041	pleckstrin homology domain containing B2	single_symbol
201411_s_at	PLEKHB2	55041	pleckstrin homology domain containing B2	single_symbol
201412_at	LRP10	26020	LDL receptor related protein 10	single_symbol
201413_at	HSD17B4	3295	hydroxysteroid 17-beta dehydrogenase 4	single_symbol
201414_s_at	NAP1L4	4676	nucleosome assembly protein 1 like 4	single_symbol
201415_at	GSS	2937	glutathione synthetase	single_symbol
201416_at	SOX4	6659	SRY-box 4	single_symbol
201417_at	SOX4	6659	SRY-box 4	single_symbol
201418_s_at	SOX4	6659	SRY-box 4	single_symbol
201419_at	BAP1	8314	BRCA1 associated protein 1	single_symbol
201420_s_at	WDR77	79084	WD repeat domain 77	single_symbol
201421_s_at	WDR77	79084	WD repeat domain 77	single_symbol
201422_at	IFI30///PIK3R2	10437///5296	IFI30, lysosomal thiol reductase///phosphoinositide-3-kinase regulatory subunit 2	multiple_symbols
201423_s_at	CUL4A	8451	cullin 4A	single_symbol
201424_s_at	CUL4A	8451	cullin 4A	single_symbol
201425_at	ALDH2	217	aldehyde dehydrogenase 2 family (mitochondrial)	single_symbol
201426_s_at	VIM	7431	vimentin	single_symbol
201427_s_at	SEPP1	6414	selenoprotein P, plasma, 1	single_symbol
201428_at	CLDN4	1364	claudin 4	single_symbol
201429_s_at	RPL37A	6168	ribosomal protein L37a	single_symbol
201430_s_at	DPYSL3	1809	dihydropyrimidinase like 3	single_symbol
201431_s_at	DPYSL3	1809	dihydropyrimidinase like 3	single_symbol
201432_at	CAT	847	catalase	single_symbol
201433_s_at	PTDSS1	9791	phosphatidylserine synthase 1	single_symbol
201434_at	TTC1	7265	tetratricopeptide repeat domain 1	single_symbol
201435_s_at	EIF4E	1977	eukaryotic translation initiation factor 4E	single_symbol
201436_at	EIF4E	1977	eukaryotic translation initiation factor 4E	single_symbol
201437_s_at	EIF4E	1977	eukaryotic translation initiation factor 4E	single_symbol
201438_at	COL6A3	1293	collagen type VI alpha 3 chain	single_symbol
201439_at	GBF1	8729	golgi brefeldin A resistant guanine nucleotide exchange factor 1	single_symbol
201440_at	DDX23	9416	DEAD-box helicase 23	single_symbol
201441_at	COX6B1	1340	cytochrome c oxidase subunit 6B1	single_symbol
201442_s_at	ATP6AP2	10159	ATPase H+ transporting accessory protein 2	single_symbol
201443_s_at	ATP6AP2	10159	ATPase H+ transporting accessory protein 2	single_symbol
201444_s_at	ATP6AP2	10159	ATPase H+ transporting accessory protein 2	single_symbol
201445_at	CNN3	1266	calponin 3	single_symbol
201446_s_at	TIA1	7072	TIA1 cytotoxic granule-associated RNA binding protein	single_symbol
201447_at	TIA1	7072	TIA1 cytotoxic granule-associated RNA binding protein	single_symbol
201448_at	TIA1	7072	TIA1 cytotoxic granule-associated RNA binding protein	single_symbol
201449_at	TIA1	7072	TIA1 cytotoxic granule-associated RNA binding protein	single_symbol
201450_s_at	TIA1	7072	TIA1 cytotoxic granule-associated RNA binding protein	single_symbol
201451_x_at	RHEB	6009	Ras homolog enriched in brain	single_symbol
201452_at	RHEB	6009	Ras homolog enriched in brain	single_symbol
201453_x_at	RHEB	6009	Ras homolog enriched in brain	single_symbol
201454_s_at	NPEPPS	9520	aminopeptidase puromycin sensitive	single_symbol
201455_s_at	NPEPPS	9520	aminopeptidase puromycin sensitive	single_symbol
201456_s_at	BUB3	9184	BUB3, mitotic checkpoint protein	single_symbol
201457_x_at	BUB3	9184	BUB3, mitotic checkpoint protein	single_symbol
201458_s_at	BUB3	9184	BUB3, mitotic checkpoint protein	single_symbol
201459_at	RUVBL2	10856	RuvB like AAA ATPase 2	single_symbol
201460_at	MAPKAPK2	9261	mitogen-activated protein kinase-activated protein kinase 2	single_symbol
201461_s_at	MAPKAPK2	9261	mitogen-activated protein kinase-activated protein kinase 2	single_symbol
201462_at	SCRN1	9805	secernin 1	single_symbol
201463_s_at	TALDO1	6888	transaldolase 1	single_symbol
201464_x_at	JUN	3725	Jun proto-oncogene, AP-1 transcription factor subunit	single_symbol
201465_s_at	JUN	3725	Jun proto-oncogene, AP-1 transcription factor subunit	single_symbol
201466_s_at	JUN	3725	Jun proto-oncogene, AP-1 transcription factor subunit	single_symbol
201467_s_at	NQO1	1728	NAD(P)H quinone dehydrogenase 1	single_symbol
201468_s_at	NQO1	1728	NAD(P)H quinone dehydrogenase 1	single_symbol
201469_s_at	SHC1	6464	SHC adaptor protein 1	single_symbol
201470_at	GSTO1	9446	glutathione S-transferase omega 1	single_symbol
201471_s_at	SQSTM1	8878	sequestosome 1	single_symbol
201472_at	VBP1	7411	VHL binding protein 1	single_symbol
201473_at	JUNB	3726	JunB proto-oncogene, AP-1 transcription factor subunit	single_symbol
201474_s_at	ITGA3	3675	integrin subunit alpha 3	single_symbol
201475_x_at	MIR6758///MARS	102465454///4141	microRNA 6758///methionyl-tRNA synthetase	multiple_symbols
201476_s_at	RRM1	6240	ribonucleotide reductase catalytic subunit M1	single_symbol
201477_s_at	RRM1	6240	ribonucleotide reductase catalytic subunit M1	single_symbol
201478_s_at	MIR664B///SNORA56///DKC1	100847052///677835///1736	microRNA 664b///small nucleolar RNA, H/ACA box 56///dyskerin pseudouridine synthase 1	multiple_symbols
201479_at	MIR664B///SNORA56///DKC1	100847052///677835///1736	microRNA 664b///small nucleolar RNA, H/ACA box 56///dyskerin pseudouridine synthase 1	multiple_symbols
201480_s_at	SUPT5H	6829	SPT5 homolog, DSIF elongation factor subunit	single_symbol
201481_s_at	PYGB	5834	phosphorylase, glycogen; brain	single_symbol
201482_at	QSOX1	5768	quiescin sulfhydryl oxidase 1	single_symbol
201483_s_at	SUPT4H1	6827	SPT4 homolog, DSIF elongation factor subunit	single_symbol
